l,omega,GBF,log10GBF,flux_check,alpha_re,alpha_im,beta_re,beta_im,x_end,r_end,method,eps,rtol,atol,success
2,1.000000000000e-02,1.836777587119e-14,-1.373594342863e+01,5.769658125000e+05,4.480725427880e+05,-7.364944265243e+06,2.884648901011e+05,7.372920755301e+06,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,2.000000000000e-02,1.217203602154e-12,-1.191463677107e+01,1.406683557129e+04,9.723027963042e+04,-9.011667519274e+05,5.815833137553e+04,9.045290688979e+05,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,3.000000000000e-02,1.438515081347e-11,-1.084208558062e+01,1.572621520996e+03,3.907409764427e+04,-2.607476633045e+05,2.211139378171e+04,2.627303060514e+05,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,4.000000000000e-02,8.402111910524e-11,-1.007561153825e+01,3.230047454834e+02,2.021560915691e+04,-1.072058707955e+05,1.091543500064e+04,1.085477892099e+05,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,5.000000000000e-02,3.338101487816e-10,-9.476500463664e+00,9.548035383224e+01,1.200956082866e+04,-5.339929999008e+04,6.219524755754e+03,5.437860063536e+04,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,6.000000000000e-02,1.039977372718e-09,-8.982976109750e+00,3.567254459858e+01,7.784568064763e+03,-3.001599377387e+04,3.880473270491e+03,3.076526082634e+04,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,7.000000000000e-02,2.740985955301e-09,-8.562093189762e+00,1.579997318983e+01,5.357475830793e+03,-1.833383964104e+04,2.577365010574e+03,1.892589223956e+04,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,8.000000000000e-02,6.394508763612e-09,-8.194192813100e+00,7.915302038193e+00,3.851439810189e+03,-1.189750351556e+04,1.791844825793e+03,1.237632670542e+04,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,9.000000000000e-02,1.359564663515e-08,-7.866600131703e+00,4.534058332443e+00,2.861884479370e+03,-8.084712321344e+03,1.289793217271e+03,8.478760818350e+03,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,1.000000000000e-01,2.687412183274e-08,-7.570665718311e+00,2.922822639346e+00,2.182351240941e+03,-5.696302421510e+03,9.541028086357e+02,6.024964989431e+03,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,2.000000000000e-01,3.055226621962e-06,-5.514956570359e+00,1.028455634369e+00,2.999841718081e+02,-4.871523980901e+02,1.018085322975e+02,5.629759822551e+02,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,3.000000000000e-01,7.001198917734e-05,-4.154827583018e+00,1.001716915063e+00,6.974614949619e+01,-9.705020641030e+01,1.965911464321e+01,1.178803861054e+02,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,4.000000000000e-01,8.675935715076e-04,-3.061683674580e+00,1.000181129171e+00,1.857964531221e+01,-2.841496449795e+01,4.752905430278e+00,3.360093951349e+01,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,5.000000000000e-01,7.761933260579e-03,-2.110030095774e+00,1.000025542946e+00,4.472691123042e+00,-1.043210989774e+01,1.290585606162e+00,1.123246393499e+01,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,6.000000000000e-01,5.479056108384e-02,-1.261294252141e+00,1.000004590151e+00,2.732860907315e-01,-4.263406332608e+00,3.754026636639e-01,4.136470366662e+00,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,7.000000000000e-01,2.735209704038e-01,-5.630093714091e-01,1.000000783470e+00,-9.126972050810e-01,-1.680181721889e+00,1.138878637283e-01,1.625747698063e+00,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,8.000000000000e-01,6.898213314671e-01,-1.612633799959e-01,1.000000178481e+00,-1.122439577818e+00,-4.356376118831e-01,3.537695993214e-02,6.696260351600e-01,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,9.000000000000e-01,9.244052901059e-01,-3.413757784325e-02,1.000000036849e+00,-1.016465741257e+00,2.203950637786e-01,1.108449706807e-02,2.857510881194e-01,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,1.000000000000e+00,9.845154513064e-01,-6.777463513207e-03,1.000000011012e+00,-8.212010654397e-01,5.842575640988e-01,3.453949200046e-03,1.253640710460e-01,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
